iter	Passed	Remaining
897	2048	232
898	2050	230
899	2052	228
900	2054	225
901	2056	223
902	2057	221
903	2059	218
904	2061	216
905	2063	214
906	2065	211
907	2067	209
908	2069	207
909	2071	204
910	2073	202
911	2075	200
912	2077	197
913	2079	195
914	2081	193
915	2084	191
916	2086	188
917	2088	186
918	2089	184
919	2091	181
920	2093	179
921	2095	177
922	2097	175
923	2099	172
924	2101	170
925	2103	168
926	2105	165
927	2107	163
928	2110	161
929	2112	158
930	2114	156
931	2115	154
932	2117	152
933	2118	149
934	2120	147
935	2122	145
936	2124	142
937	2126	140
938	2128	138
939	2130	136
940	2132	133
941	2134	131
942	2136	129
943	2138	126
944	2140	124
945	2142	122
946	2144	120
947	2146	117
948	2148	115
949	2150	113
950	2152	110
951	2154	108
952	2156	106
953	2158	104
954	2160	101
955	2162	99
956	2164	97
957	2165	94
958	2167	92
959	2169	90
960	2171	88
961	2173	85
962	2176	83
963	2178	81
964	2180	79
965	2181	76
966	2183	74
967	2185	72
968	2187	69
969	2189	67
970	2191	65
971	2193	63
972	2195	60
973	2197	58
974	2199	56
975	2201	54
976	2205	51
977	2208	49
978	2210	47
979	2211	45
980	2213	42
981	2217	40
982	2219	38
983	2221	36
984	2224	33
985	2226	31
986	2228	29
987	2230	27
988	2232	24
989	2234	22
990	2236	20
991	2248	18
992	2249	15
993	2251	13
994	2253	11
995	2256	9
996	2258	6
997	2259	4
998	2261	2
999	2262	0
